Nome da Maquina;Data da Coleta;Uso de CPU;Load1;Load5;Load15;Uso de RAM;RAM total (bytes);RAM usada (bytes);Uso de Swap;Swap total (bytes);Swap usada (bytes);Uso de Disco;Disco total (bytes);Disco usado (bytes);Disco livre (bytes);Net bytes enviados;Net bytes recebidos;Freq CPU (MHz);Temp CPU (C);Uptime (s)
srv1;2025-10-10 19:11:10;30.6;1.92578125;1.37451171875;1.1484375;32.1;16435757056;5276430336;0.0;2147479552;0;3.2;993262940160;30062641152;912669790208;38184897;328496939;1484.6738333333333;61.0;7486
srv1;2025-10-10 19:12:11;0.5;1.31982421875;1.31689453125;1.14404296875;31.5;16435757056;5180989440;0.0;2147479552;0;3.2;993262940160;30065721344;912666710016;38495727;330210204;2030.65525;56.0;7547
srv1;2025-10-10 19:13:12;0.8;0.61669921875;1.1181640625;1.08447265625;29.9;16435757056;4906790912;0.0;2147479552;0;3.2;993262940160;30074290176;912658141184;38627358;331496459;2033.4861666666668;46.0;7608
srv1;2025-10-10 19:14:13;1.3;0.2060546875;0.896484375;1.00830078125;29.8;16435757056;4899057664;0.0;2147479552;0;3.2;993262940160;30075543552;912656887808;38800076;332889133;1975.6024166666666;42.0;7669
srv1;2025-10-10 19:15:14;1.8;0.23486328125;0.77783203125;0.96044921875;29.8;16435757056;4904853504;0.0;2147479552;0;3.2;993262940160;30076964864;912655466496;38964050;334357416;2062.2445833333336;41.0;7730
srv1;2025-10-10 19:16:15;1.4;0.20947265625;0.666015625;0.908203125;29.8;16435757056;4897026048;0.0;2147479552;0;3.2;993262940160;30078758912;912653672448;39125848;336202053;2334.63725;41.0;7791
srv1;2025-10-10 19:17:16;34.2;0.0751953125;0.5419921875;0.849609375;30.4;16435757056;4993826816;0.0;2147479552;0;3.2;993262940160;30080270336;912652161024;39269388;337862355;1640017;41.0;7852
srv1;2025-10-10 19:18:27;6.8;0.7431640625;0.68359375;0.880859375;30.2;16435757056;4969238528;0.0;2147479552;0;3.2;993262940160;30065639424;912666791936;39518781;338823856;2158.9385;45.0;7923
srv1;2025-10-10 19:19:34;4.7;0.662109375;0.677734375;0.8671875;30.6;16435757056;5026066432;0.0;2147479552;0;3.2;993262940160;30066618368;912665812992;39749170;339832745;1545.89825;48.0;7990
srv1;2025-10-10 19:20:35;0.9;0.40234375;0.6103515625;0.83154296875;30.0;16435757056;4934901760;0.0;2147479552;0;3.2;993262940160;30067933184;912664498176;39888925;341368925;2208.2751666666663;46.0;8051
srv1;2025-10-10 19:21:36;0.9;0.341796875;0.55029296875;0.7958984375;30.0;16435757056;4932157440;0.0;2147479552;0;3.2;993262940160;30068793344;912663638016;40020497;342444982;1841.7896666666666;44.0;8112
srv1;2025-10-10 19:22:37;2.0;0.18115234375;0.46337890625;0.7490234375;30.1;16435757056;4943613952;0.0;2147479552;0;3.2;993262940160;30069944320;912662487040;40173331;343780286;1641.1935833333334;40.0;8173
srv1;2025-10-10 19:23:38;1.1;0.06494140625;0.37646484375;0.69970703125;29.9;16435757056;4913348608;0.0;2147479552;0;3.2;993262940160;30070902784;912661528576;40318100;344936221;2004.1653333333334;40.0;8234
srv1;2025-10-10 19:24:39;0.8;0.09521484375;0.3349609375;0.66455078125;29.8;16435757056;4905689088;0.0;2147479552;0;3.2;993262940160;30072246272;912660185088;40482147;346494022;2353.5846666666666;39.0;8295
srv1;2025-10-10 19:25:40;0.5;0.1767578125;0.3173828125;0.63525390625;29.8;16435757056;4899651584;0.0;2147479552;0;3.2;993262940160;30073384960;912659046400;40669448;347848669;2179453;39.0;8356
srv1;2025-10-10 19:26:42;1.3;0.10302734375;0.267578125;0.5966796875;30.2;16435757056;4965957632;0.0;2147479552;0;3.2;993262940160;30074667008;912657764352;40815910;349275808;2191.842666666667;39.0;8418
srv1;2025-10-10 19:27:43;0.8;0.1708984375;0.26123046875;0.57275390625;29.9;16435757056;4911083520;0.0;2147479552;0;3.2;993262940160;30075834368;912656596992;40955056;350641353;1998.3714166666668;39.0;8479
srv1;2025-10-10 19:28:44;2.2;0.0615234375;0.21142578125;0.53369140625;29.9;16435757056;4906434560;0.0;2147479552;0;3.2;993262940160;30076993536;912655437824;41095548;352028597;2176.1908333333336;39.0;8540
srv1;2025-10-10 19:29:45;1.0;0.05859375;0.18505859375;0.50439453125;29.9;16435757056;4909256704;0.0;2147479552;0;3.2;993262940160;30078345216;912654086144;41251744;353626046;2338.3129166666668;39.0;8601
srv1;2025-10-10 19:30:46;0.5;0.1337890625;0.177734375;0.47802734375;29.9;16435757056;4911796224;0.0;2147479552;0;3.2;993262940160;30079537152;912652894208;41390902;355042829;2353.0985;39.0;8662
srv1;2025-10-10 19:31:47;0.3;0.185546875;0.18798828125;0.46044921875;29.9;16435757056;4913250304;0.0;2147479552;0;3.2;993262940160;30080655360;912651776000;41520855;356357915;1995.7381666666668;39.0;8723
srv1;2025-10-10 19:32:48;1.2;0.10400390625;0.16552734375;0.4345703125;29.9;16435757056;4910682112;0.0;2147479552;0;3.2;993262940160;30081835008;912650596352;41673896;357758727;2214.114666666667;40.0;8784
srv1;2025-10-10 19:33:49;0.8;0.162109375;0.177734375;0.4228515625;30.0;16435757056;4934004736;0.0;2147479552;0;3.2;993262940160;30082846720;912649584640;41813361;358717840;1929.4262499999998;39.0;8845
srv1;2025-10-10 19:34:50;0.8;0.09228515625;0.1572265625;0.3994140625;29.9;16435757056;4920885248;0.0;2147479552;0;3.2;993262940160;30084239360;912648192000;41989517;360409392;1999.5214166666667;39.0;8906
srv1;2025-10-10 19:35:51;0.8;0.08203125;0.1396484375;0.37353515625;29.9;16435757056;4919230464;0.0;2147479552;0;3.2;993262940160;30085062656;912647368704;42122844;361409648;2061.729333333333;39.0;8967
srv1;2025-10-10 19:36:52;2.1;0.21875;0.16064453125;0.3642578125;29.9;16435757056;4912967680;0.0;2147479552;0;3.2;993262940160;30086696960;912645734400;42280235;363290215;1842.1315000000002;39.0;9028
srv1;2025-10-10 19:37:53;2.5;0.111328125;0.14306640625;0.34521484375;30.0;16435757056;4931444736;0.0;2147479552;0;3.2;993262940160;30087565312;912644866048;42433910;364689253;2365.2746666666667;40.0;9089
srv1;2025-10-10 19:38:54;0.8;0.0390625;0.1142578125;0.32177734375;30.1;16435757056;4941471744;0.0;2147479552;0;3.2;993262940160;30088814592;912643616768;42580003;365950881;2355.0559166666667;39.0;9150
srv1;2025-10-10 19:39:56;1.0;0.05712890625;0.10693359375;0.30419921875;30.1;16435757056;4945457152;0.0;2147479552;0;3.2;993262940160;30089748480;912642682880;42732521;367049206;1807.4307500000002;39.0;9212
